objectid,fire_year,discovery_doy,fire_size,latitude,longitude
1500256,2011,152,0.3,44.280840000000005,-85.17716
1500257,2011,88,0.1,42.001463,-83.215159
1500258,2011,124,0.3,44.88075,-84.30928
1500259,2011,210,0.1,45.176320000000004,-84.3422
1500260,2011,243,0.4,43.233129999999996,-86.33554000000001
1500261,2011,105,0.6,43.706856,-86.498323
1500262,2011,124,0.3,43.61672,-86.17269
1500263,2011,105,3.4,44.36358,-84.34097
1500264,2011,210,1.5,46.43605,-87.57299
1500265,2011,213,3.2,46.713874,-87.80762299999999
1500266,2011,215,0.1,46.40283,-87.83355
1500267,2011,215,0.1,46.51214,-87.56344
1500268,2011,222,0.1,46.61785,-87.48361
1500269,2011,234,29.2,46.818090999999995,-87.867593
1500270,2011,250,0.3,46.07639,-87.47823000000001
1500271,2011,105,3.6,46.05687,-88.04536
1500272,2011,115,8.0,45.90063,-88.07474
1500273,2011,128,0.5,45.925909999999995,-88.10991
1500274,2011,128,6.7,45.82829,-87.8933
1500275,2011,129,1.1,45.8391,-88.00166
1500276,2011,152,1.0,46.21738,-87.96793000000001
1500277,2011,238,0.5,45.71487,-84.90345
1500278,2011,105,1.0,44.0202,-84.44735
1500279,2011,128,2.0,44.15307,-84.5542
1500280,2011,131,1.0,44.02149,-84.3178
1500281,2011,121,5.7,44.315909999999995,-84.23881999999999
1500282,2011,152,4.0,44.00183,-85.11143
1500283,2011,255,0.1,46.862320000000004,-87.75253000000001
1500284,2011,294,0.1,46.5092,-87.42299999999999
1500285,2011,233,5.0,44.75036,-84.27552
1500286,2011,129,1.2,45.03629,-84.77094
1500287,2011,130,0.1,45.07022,-84.72485
1500288,2011,137,0.1,45.03448,-84.6922
1500289,2011,142,0.1,45.109759999999994,-84.687885
1500290,2011,142,0.1,45.074036,-84.690503
1500291,2011,152,2.0,44.90336,-84.83665
1500292,2011,97,4.6,45.71373,-87.68811
1500293,2011,206,3.4,45.91819,-87.46987
1500294,2011,121,23.8,44.785759999999996,-84.45141
1500295,2011,121,2.0,44.66853,-84.44479
1500296,2011,136,2.5,44.671440000000004,-84.52625
1500297,2011,142,5.5,44.84115,-84.59913
1500298,2011,206,0.3,45.04558,-84.7325
1500299,2011,99,0.1,45.2385,-83.91719
1500300,2011,166,0.1,45.32398,-84.05856999999999
1500301,2011,137,0.2,44.25091,-84.67894
1500302,2011,149,6.0,44.81906,-84.76054
1500303,2011,158,817.0,44.7152,-84.81057
1500304,2011,158,0.1,44.79652,-84.7732
1500305,2011,166,2.7,44.613459999999996,-84.61532
1500306,2011,213,0.5,44.8255,-84.80587
1500307,2011,210,14.3,44.53494,-84.68719
